BEGINN_DATUM;BEGINN_UHRZEIT;ZEITZONE_VON;ENDE_DATUM;ENDE_UHRZEIT;ZEITZONE_BIS;GRUND_DER_MASSNAHME;RICHTUNG;MITTLERE_LEISTUNG_MW;MAXIMALE_LEISTUNG_MW;GESAMTE_ARBEIT_MWH;ANWEISENDER_UENB;ANFORDERNDER_UENB;BETROFFENE_ANLAGE;PRIMAERENERGIEART
12.12.2025;05:15;CET;12.12.2025;06:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;57;100;42;50Hertz;50Hertz & Amprion & TenneT DE & TransnetBW;Boxberg (Standort);Konventionell
12.12.2025;05:15;CET;12.12.2025;06:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;53;90;40;50Hertz;50Hertz & Amprion & TenneT DE & TransnetBW;Jänschwalde (Standort);Konventionell
12.12.2025;05:15;CET;12.12.2025;06:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;50;80;38;50Hertz;50Hertz & Amprion & TenneT DE & TransnetBW;Schwarze Pumpe (Standort);Konventionell
12.12.2025;15:30;CET;12.12.2025;15:45;CET;Probefahrt;Wirkleistungseinspeisung reduzieren;8;8;2;TransnetBW;TransnetBW;illwerke vkw AG;Sonstiges
12.12.2025;15:30;CET;12.12.2025;15:45;CET;Probefahrt;Wirkleistungseinspeisung erhöhen;8;8;2;TransnetBW;TransnetBW;Marbach GT 4 (bnBm);Konventionell
12.12.2025;22:00;CET;12.12.2025;22:15;CET;Strom- und Spannungsbedingter RD;Wirkleistungseinspeisung reduzieren;39;39;9,75;TransnetBW;50Hertz & Amprion & TenneT DE & TransnetBW;Börse;Sonstiges
12.12.2025;22:00;CET;12.12.2025;23:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;53;53;53;TransnetBW;50Hertz & Amprion & TenneT DE & TransnetBW;Grosskraftwerk Mannheim Block 6;Konventionell
12.12.2025;22:00;CET;12.12.2025;23:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;42;42;42;TransnetBW;50Hertz & Amprion & TenneT DE & TransnetBW;illwerke vkw AG;Sonstiges
12.12.2025;22:00;CET;12.12.2025;23:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;50;50;50;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;NIEHL-31-GUD;Konventionell
12.12.2025;22:00;CET;13.12.2025;00:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;92;114;183;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;HERDECKE_H6;Konventionell
13.12.2025;00:00;CET;13.12.2025;01:30;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;151,67;200;227,5;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Irsching 4;Konventionell
13.12.2025;00:00;CET;13.12.2025;07:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;323,39;370;2263,75;TransnetBW;50Hertz & Amprion & TenneT DE & TransnetBW;Rheinhafen-Dampfkraftwerk Karlsruhe Block 8;Konventionell
13.12.2025;00:00;CET;13.12.2025;07:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;400,5;548;2803,5;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;UW Büttel;Erneuerbar
13.12.2025;00:00;CET;13.12.2025;11:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;293;410;3220;50Hertz;50Hertz & Amprion & TenneT DE & TransnetBW;Rostock Kohlekraftwerk;Konventionell
13.12.2025;00:00;CET;13.12.2025;20:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;131;200;1440;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;HERDECKE_H6;Konventionell
13.12.2025;00:00;CET;14.12.2025;00:00;CET;Strombedingter Countertrade DE-DK2;Wirkleistungseinspeisung erhöhen;28;69;234;50Hertz;50Hertz;Börse;Sonstiges
13.12.2025;00:15;CET;13.12.2025;11:15;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;213;343;2343;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Wilhelmshaven (ENGIE);Konventionell
13.12.2025;01:00;CET;13.12.2025;08:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;163;273;1138;50Hertz;50Hertz & Amprion & TenneT DE & TransnetBW;Lippendorf VE;Konventionell
13.12.2025;03:00;CET;13.12.2025;06:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;47;63;141;50Hertz;50Hertz & Amprion & TenneT DE & TransnetBW;50H Hamburg Tiefstack 2 HKW SK;Konventionell
13.12.2025;03:00;CET;13.12.2025;06:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;111;128;333;50Hertz;50Hertz & Amprion & TenneT DE & TransnetBW;Jänschwalde (Standort);Konventionell
13.12.2025;03:00;CET;13.12.2025;09:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;40;45;242;50Hertz;50Hertz & Amprion & TenneT DE & TransnetBW;50H Hamburg Wedel1;Konventionell
13.12.2025;03:00;CET;13.12.2025;23:45;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;83,51;110;1064,75;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Kiel (Küstenkraftwerk gesamt);Konventionell
13.12.2025;04:00;CET;13.12.2025;07:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;246;300;738;50Hertz;50Hertz & Amprion & TenneT DE & TransnetBW;Schkopau;Konventionell
13.12.2025;04:00;CET;13.12.2025;08:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;138;267;552;50Hertz;50Hertz & Amprion & TenneT DE & TransnetBW;Lippendorf VE;Konventionell
13.12.2025;04:45;CET;13.12.2025;18:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;90,76;144;567,25;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Irsching 4;Konventionell
13.12.2025;05:00;CET;13.12.2025;09:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;28,56;38;114,25;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Linden GKL GT 1;Konventionell
13.12.2025;06:00;CET;13.12.2025;07:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;153;153;153;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;Emsland Block D;Konventionell
13.12.2025;06:00;CET;13.12.2025;14:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;253,67;663;2029,33;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;UW Büttel;Erneuerbar
13.12.2025;06:45;CET;13.12.2025;22:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;187;210;2107;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;Emsland Block C;Konventionell
13.12.2025;07:00;CET;13.12.2025;09:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;103,13;165;206,25;TransnetBW;50Hertz & TenneT DE;Heizkraftwerk Altbach/Deizisau Block 2;Konventionell
13.12.2025;07:00;CET;13.12.2025;12:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;392,75;500;1963,75;TransnetBW;50Hertz & TenneT DE;illwerke vkw AG;Sonstiges
13.12.2025;07:00;CET;13.12.2025;12:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;440;500;2200;TenneT DE;50Hertz & TenneT DE;UW Büttel;Erneuerbar
13.12.2025;08:00;CET;13.12.2025;09:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;32;32;32;50Hertz;50Hertz & Amprion & TenneT DE & TransnetBW;50H InfraLeuna IKW;Konventionell
13.12.2025;08:00;CET;13.12.2025;12:45;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;170,32;200;809;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Wilhelmshaven (ENGIE);Konventionell
13.12.2025;08:00;CET;14.12.2025;00:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;33,4;40;167;TransnetBW;50Hertz & Amprion & TenneT DE & TransnetBW;Grosskraftwerk Mannheim Block 6;Konventionell
13.12.2025;08:15;CET;13.12.2025;11:15;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;123,5;170;370,5;TransnetBW;50Hertz & Amprion & TenneT DE & TransnetBW;Heizkraftwerk Altbach/Deizisau Block 2;Konventionell
13.12.2025;08:15;CET;13.12.2025;14:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;64,67;172;291;TransnetBW;50Hertz & Amprion & TenneT DE & TransnetBW;illwerke vkw AG;Sonstiges
13.12.2025;08:30;CET;13.12.2025;11:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;50;50;125;TenneT DE;50Hertz & TenneT DE;SHN Cluster Kummerfeld;Erneuerbar
13.12.2025;08:30;CET;13.12.2025;12:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;85,71;100;300;TenneT DE;50Hertz & TenneT DE;SHN Cluster Handewitt T411;Erneuerbar
13.12.2025;08:30;CET;13.12.2025;12:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;50;50;175;TenneT DE;50Hertz & TenneT DE;SHN Cluster Handewitt T412 T413;Erneuerbar
